time               ,value
2019-05-01 00:00:00,0.510
2019-05-01 07:00:00,0.190
2019-05-01 13:00:00,0.580
2019-05-01 19:00:00,0.230
2019-05-02 01:00:00,0.540
2019-05-02 07:00:00,0.150
2019-05-02 14:00:00,0.640
2019-05-02 20:00:00,0.190
2019-05-03 02:00:00,0.570
2019-05-03 07:00:00,0.120
2019-05-03 14:00:00,0.700
2019-05-03 20:00:00,0.140
2019-05-04 02:00:00,0.580
2019-05-04 08:00:00,0.080
2019-05-04 14:00:00,0.740
2019-05-04 21:00:00,0.110
2019-05-05 03:00:00,0.590
2019-05-05 08:00:00,0.050
2019-05-05 15:00:00,0.760
2019-05-05 21:00:00,0.090
2019-05-06 03:00:00,0.580
2019-05-06 09:00:00,0.030
2019-05-06 15:00:00,0.770
2019-05-06 21:00:00,0.080
2019-05-07 04:00:00,0.560
2019-05-07 09:00:00,0.030
2019-05-07 16:00:00,0.760
2019-05-07 22:00:00,0.090
2019-05-08 04:00:00,0.540
2019-05-08 10:00:00,0.040
2019-05-08 16:00:00,0.730
2019-05-08 23:00:00,0.120
2019-05-09 04:00:00,0.510
2019-05-09 10:00:00,0.080
2019-05-09 17:00:00,0.680
2019-05-09 23:00:00,0.160
2019-05-10 05:00:00,0.470
2019-05-10 11:00:00,0.130
2019-05-10 17:00:00,0.620
2019-05-11 00:00:00,0.200
2019-05-11 06:00:00,0.430
2019-05-11 12:00:00,0.200
2019-05-11 18:00:00,0.550
2019-05-12 01:00:00,0.230
2019-05-12 07:00:00,0.400
2019-05-12 13:00:00,0.280
2019-05-12 19:00:00,0.480
2019-05-13 03:00:00,0.250
2019-05-13 10:00:00,0.410
2019-05-13 15:00:00,0.330
2019-05-13 22:00:00,0.440
2019-05-14 04:00:00,0.220
2019-05-14 12:00:00,0.490
2019-05-14 17:00:00,0.290
2019-05-14 23:00:00,0.450
2019-05-15 06:00:00,0.160
2019-05-15 13:00:00,0.570
2019-05-15 19:00:00,0.220
2019-05-16 00:00:00,0.480
2019-05-16 06:00:00,0.100
2019-05-16 13:00:00,0.640
2019-05-16 19:00:00,0.170
2019-05-17 01:00:00,0.500
2019-05-17 07:00:00,0.060
2019-05-17 14:00:00,0.690
2019-05-17 20:00:00,0.120
2019-05-18 02:00:00,0.530
2019-05-18 08:00:00,0.030
2019-05-18 14:00:00,0.730
2019-05-18 20:00:00,0.090
2019-05-19 02:00:00,0.540
2019-05-19 08:00:00,0.010
2019-05-19 15:00:00,0.750
2019-05-19 21:00:00,0.080
2019-05-20 03:00:00,0.550
2019-05-20 09:00:00,0.010
2019-05-20 15:00:00,0.750
2019-05-20 21:00:00,0.080
2019-05-21 03:00:00,0.540
2019-05-21 09:00:00,0.030
2019-05-21 16:00:00,0.730
2019-05-21 22:00:00,0.090
2019-05-22 04:00:00,0.530
2019-05-22 09:00:00,0.060
2019-05-22 16:00:00,0.700
2019-05-22 22:00:00,0.110
2019-05-23 04:00:00,0.500
2019-05-23 10:00:00,0.100
2019-05-23 17:00:00,0.660
2019-05-23 23:00:00,0.140
2019-05-24 05:00:00,0.460
2019-05-24 10:00:00,0.150
2019-05-24 17:00:00,0.600
2019-05-24 23:00:00,0.170
2019-05-25 06:00:00,0.420
2019-05-25 11:00:00,0.200
2019-05-25 18:00:00,0.540
2019-05-26 00:00:00,0.200
2019-05-26 07:00:00,0.390
2019-05-26 11:00:00,0.260
2019-05-26 19:00:00,0.480
2019-05-27 01:00:00,0.230
2019-05-27 09:00:00,0.370
2019-05-27 12:00:00,0.320
2019-05-27 20:00:00,0.430
2019-05-28 03:00:00,0.230
2019-05-28 10:00:00,0.410
2019-05-28 18:00:00,0.330
2019-05-28 22:00:00,0.400
2019-05-29 05:00:00,0.210
2019-05-29 12:00:00,0.470
2019-05-29 18:00:00,0.280
2019-05-29 23:00:00,0.410
2019-05-30 06:00:00,0.170
2019-05-30 12:00:00,0.540
2019-05-30 19:00:00,0.230
